BV;LE RASSEMBLEMENT CITOYEN;L'ALTERNATIVE RESPONSABLE;TOULOUSE EN MARCHE !;JEAN-LUC MOUDENC UN NOUVEL ELAN POUR TOULOUSE;LUTTE OUVRIERE FAIRE ENTENDRE LE CAMP DES TRAVAILLEURS;A TOULOUSE, PLACE AU PEUPLE - FRONT DE GAUCHE;"""AIMER TOULOUSE""";TOULOUSE VERT DEMAIN EUROPE ECOLOGIE LES VERTS PARTI PIRATE MIDI-PYRENEES;AVEC VOUS, TOULOUSE AVANCE !;TOULOUSE BLEU MARINE;CIRC.;CANTON;INSCRITS;VOTANTS;NULS;EXPRIMES;ABSTENTIONS
00142;9.0;11.0;1.0;216.0;1.0;10.0;6.0;9.0;97.0;93.0;3.0;9.0;890.0;459.0;6.0;453.0;431.0
00152;2.0;5.0;6.0;107.0;3.0;31.0;3.0;20.0;120.0;44.0;7.0;10.0;944.0;355.0;14.0;341.0;589.0
00167;15.0;15.0;10.0;185.0;4.0;44.0;11.0;41.0;176.0;33.0;7.0;11.0;995.0;543.0;9.0;534.0;452.0
00190;5.0;5.0;33.0;77.0;3.0;14.0;2.0;5.0;79.0;15.0;4.0;12.0;1008.0;247.0;9.0;238.0;761.0
00225;5.0;9.0;15.0;132.0;8.0;23.0;15.0;27.0;140.0;61.0;2.0;15.0;838.0;451.0;16.0;435.0;387.0
00049;20.0;10.0;7.0;118.0;1.0;30.0;4.0;34.0;170.0;38.0;4.0;3.0;759.0;440.0;8.0;432.0;319.0
00050;19.0;16.0;11.0;156.0;3.0;31.0;14.0;45.0;180.0;42.0;4.0;3.0;977.0;533.0;16.0;517.0;444.0
00060;13.0;16.0;6.0;180.0;4.0;31.0;9.0;56.0;216.0;55.0;1.0;4.0;1164.0;611.0;25.0;586.0;553.0
0108A;12.0;8.0;5.0;154.0;1.0;28.0;6.0;32.0;211.0;53.0;2.0;7.0;939.0;523.0;13.0;510.0;416.0
00125;20.0;9.0;2.0;290.0;1.0;17.0;16.0;42.0;140.0;27.0;3.0;8.0;957.0;575.0;11.0;564.0;382.0
00182;12.0;24.0;8.0;149.0;5.0;25.0;9.0;29.0;120.0;44.0;7.0;11.0;794.0;435.0;10.0;425.0;359.0
00215;11.0;16.0;6.0;211.0;4.0;41.0;23.0;49.0;202.0;48.0;2.0;15.0;1373.0;629.0;18.0;611.0;744.0
00001;8.0;21.0;5.0;215.0;3.0;26.0;3.0;45.0;166.0;40.0;4.0;1.0;1100.0;541.0;10.0;532.0;559.0
00044;18.0;16.0;7.0;177.0;6.0;41.0;18.0;48.0;181.0;30.0;4.0;3.0;971.0;558.0;16.0;542.0;413.0
0049A;14.0;11.0;5.0;192.0;0.0;44.0;9.0;30.0;156.0;44.0;4.0;3.0;856.0;513.0;8.0;505.0;343.0
0165A;12.0;22.0;9.0;251.0;2.0;14.0;14.0;36.0;195.0;43.0;7.0;10.0;982.0;609.0;11.0;598.0;373.0
00200;7.0;24.0;3.0;342.0;1.0;17.0;24.0;31.0;122.0;68.0;4.0;12.0;1192.0;654.0;15.0;639.0;538.0
00005;1.0;33.0;1.0;214.0;2.0;14.0;4.0;12.0;115.0;33.0;4.0;1.0;772.0;439.0;10.0;429.0;333.0
00024;11.0;12.0;7.0;179.0;1.0;34.0;8.0;65.0;201.0;17.0;3.0;2.0;1061.0;543.0;8.0;535.0;518.0
0025A;12.0;18.0;8.0;166.0;3.0;35.0;4.0;43.0;191.0;27.0;3.0;2.0;1002.0;518.0;11.0;507.0;484.0
00051;22.0;11.0;16.0;212.0;8.0;28.0;22.0;46.0;237.0;39.0;4.0;3.0;1230.0;659.0;18.0;641.0;571.0
00071;9.0;6.0;10.0;156.0;6.0;36.0;8.0;50.0;170.0;53.0;1.0;4.0;941.0;513.0;10.0;504.0;428.0
00078;13.0;11.0;5.0;252.0;5.0;29.0;7.0;43.0;206.0;34.0;1.0;5.0;1006.0;624.0;19.0;605.0;382.0
00079;11.0;8.0;5.0;168.0;4.0;23.0;6.0;52.0;194.0;20.0;1.0;5.0;915.0;498.0;6.0;491.0;417.0
00080;9.0;19.0;8.0;194.0;0.0;30.0;7.0;53.0;184.0;40.0;1.0;5.0;1173.0;553.0;9.0;544.0;620.0
00097;17.0;5.0;12.0;162.0;2.0;22.0;23.0;35.0;216.0;59.0;2.0;6.0;1084.0;564.0;10.0;553.0;520.0
00184;13.0;6.0;16.0;119.0;5.0;21.0;15.0;7.0;120.0;23.0;4.0;12.0;1151.0;355.0;10.0;345.0;796.0
00188;7.0;6.0;27.0;159.0;5.0;17.0;11.0;14.0;179.0;52.0;4.0;12.0;1220.0;497.0;20.0;477.0;723.0
00008;11.0;13.0;6.0;144.0;0.0;19.0;17.0;43.0;194.0;20.0;4.0;1.0;891.0;480.0;13.0;467.0;411.0
00014;8.0;25.0;8.0;239.0;0.0;38.0;15.0;50.0;167.0;39.0;4.0;1.0;1014.0;595.0;6.0;589.0;419.0
00034;9.0;9.0;9.0;151.0;2.0;37.0;11.0;44.0;180.0;34.0;4.0;3.0;953.0;496.0;10.0;486.0;457.0
00039;5.0;8.0;10.0;186.0;3.0;56.0;17.0;52.0;231.0;23.0;4.0;3.0;1160.0;603.0;12.0;591.0;557.0
00063;5.0;3.0;7.0;90.0;1.0;16.0;8.0;21.0;119.0;38.0;1.0;4.0;806.0;314.0;6.0;308.0;492.0
0124A;8.0;17.0;3.0;309.0;7.0;11.0;6.0;32.0;148.0;26.0;3.0;8.0;982.0;582.0;15.0;567.0;400.0
00205;16.0;16.0;9.0;181.0;3.0;27.0;10.0;37.0;252.0;82.0;1.0;13.0;1184.0;651.0;18.0;633.0;533.0
00006;10.0;21.0;7.0;189.0;3.0;32.0;8.0;53.0;183.0;14.0;4.0;1.0;1098.0;531.0;11.0;520.0;567.0
00023;20.0;17.0;12.0;168.0;3.0;39.0;10.0;61.0;238.0;39.0;3.0;2.0;1205.0;614.0;7.0;607.0;591.0
00064;19.0;19.0;11.0;179.0;3.0;23.0;20.0;51.0;265.0;63.0;1.0;4.0;1233.0;675.0;22.0;653.0;558.0
00075;14.0;8.0;11.0;86.0;5.0;34.0;7.0;49.0;207.0;20.0;1.0;5.0;949.0;456.0;15.0;441.0;493.0
00076;15.0;15.0;19.0;156.0;8.0;35.0;12.0;43.0;185.0;22.0;1.0;5.0;1007.0;517.0;7.0;510.0;490.0
00111;11.0;12.0;6.0;205.0;6.0;16.0;9.0;47.0;138.0;51.0;2.0;7.0;956.0;511.0;10.0;501.0;445.0
00123;19.0;3.0;5.0;239.0;3.0;26.0;13.0;53.0;174.0;46.0;3.0;8.0;1134.0;589.0;8.0;581.0;545.0
00131;8.0;13.0;7.0;276.0;4.0;36.0;7.0;31.0;163.0;45.0;3.0;9.0;1051.0;602.0;12.0;590.0;449.0
00154;2.0;4.0;8.0;89.0;1.0;8.0;3.0;14.0;98.0;38.0;7.0;10.0;809.0;278.0;13.0;265.0;531.0
00179;11.0;11.0;13.0;100.0;5.0;25.0;5.0;13.0;128.0;37.0;7.0;11.0;709.0;357.0;9.0;348.0;352.0
00211;22.0;20.0;6.0;239.0;0.0;35.0;23.0;41.0;229.0;99.0;1.0;14.0;1377.0;732.0;18.0;714.0;645.0
